context number,rate
1,0.4534282
2,0.2065715
3,0.20648455
4,0.2064821
5,0.20648217
6,0.20648217
7,0.20648217
8,0.20648217
9,0.20648217
10,0.20648217
11,0.20648217
12,0.20648217
13,0.20648217
14,0.20648217
15,0.20648217
16,0.20648217
17,0.20648217
18,0.20648217
19,0.20648217
20,0.20648217
21,0.20648217
22,0.20648217
23,0.20648217
24,0.20648217
25,0.20648217
26,0.20648217
27,0.20648217
28,0.20648217
29,0.20648217
30,0.20648217
31,0.20648217
32,0.20648217
33,0.20648217
34,0.20648217
35,0.20648217
36,0.20648217
37,0.20648217
38,0.20648217
39,0.20648217
40,0.20648217
41,0.20648217
42,0.20648217
43,0.20648217
44,0.20648217
45,0.20648217
46,0.20648217
47,0.20648217
48,0.20648217
49,0.20648217
50,0.20648217
51,0.20648217
52,0.20648217
53,0.20648217
54,0.20648217
55,0.20648217
56,0.20648217
57,0.20648217
58,0.20648217
59,0.20648217
60,0.20648217
61,0.20648217
62,0.20648217
63,0.20648217
64,0.20648217
65,0.20648217
66,0.20648217
67,0.20648217
68,0.20648217
69,0.20648217
70,0.20648217
71,0.20648217
72,0.20648217
73,0.20648217
74,0.20648217
75,0.20648217
76,0.20648217
77,0.20648217
78,0.20648217
79,0.20648217
80,0.20648217
81,0.20648217
82,0.20648217
83,0.20648217
84,0.20648217
85,0.20648217
86,0.20648217
87,0.20648217
88,0.20648217
89,0.20648217
90,0.20648217
91,0.20648217
92,0.20648217
93,0.20648217
94,0.20648217
95,0.20648217
96,0.20648217
97,0.20648217
98,0.20648217
99,0.20648217
100,0.20648217
101,0.20648217
102,0.20648217
103,0.20648217
104,0.20648217
105,0.20648217
106,0.20648217
107,0.20648217
108,0.20648217
109,0.20648217
110,0.20648217
111,0.20648217
112,0.20648217
113,0.20648217
114,0.20648217
115,0.20648217
116,0.20648217
117,0.20648217
118,0.20648217
119,0.20648217
120,0.20648217
121,0.20648217
122,0.20648217
123,0.20648217
124,0.20648217
125,0.20648217
126,0.20648217
127,0.20648217
128,0.20648217
129,0.20648217
130,0.20648217
131,0.20648217
132,0.20648217
133,0.20648217
134,0.20648217
135,0.20648217
136,0.20648217
137,0.20648217
138,0.20648217
139,0.20648217
140,0.20648217
141,0.20648217
142,0.20648217
143,0.20648217
144,0.20648217
145,0.20648217
146,0.20648217
147,0.20648217
148,0.20648217
149,0.20648217
150,0.20648217
151,0.20648217
152,0.20648217
153,0.20648217
154,0.20648217
155,0.20648217
156,0.20648217
157,0.20648217
158,0.20648217
159,0.20648217
160,0.20648217
161,0.20648217
162,0.20648217
163,0.20648217
164,0.20648217
165,0.20648217
166,0.20648217
167,0.20648217
168,0.20648217
169,0.20648217
170,0.20648217
171,0.20648217
172,0.20648217
173,0.20648217
174,0.20648217
175,0.20648217
176,0.20648217
177,0.20648217
178,0.20648217
179,0.20648217
180,0.20648217
181,0.20648217
182,0.20648217
183,0.20648217
184,0.20648217
185,0.20648217
186,0.20648217
187,0.20648217
188,0.20648217
189,0.20648217
190,0.20648217
191,0.20648217
192,0.20648217
193,0.20648217
194,0.20648217
195,0.20648217
196,0.20648217
197,0.20648217
198,0.20648217
199,0.20648217
200,0.20648217
201,0.20648217
202,0.20648217
203,0.20648217
204,0.20648217
205,0.20648217
206,0.20648217
207,0.20648217
208,0.20648217
209,0.20648217
210,0.20648217
211,0.20648217
212,0.20648217
213,0.20648217
214,0.20648217
215,0.20648217
216,0.20648217
217,0.20648217
218,0.20648217
219,0.20648217
220,0.20648217
221,0.20648217
222,0.20648217
223,0.20648217
224,0.20648217
225,0.20648217
226,0.20648217
227,0.20648217
228,0.20648217
229,0.20648217
230,0.20648217
231,0.20648217
232,0.20648217
233,0.20648217
234,0.20648217
235,0.20648217
236,0.20648217
237,0.20648217
238,0.20648217
239,0.20648217
240,0.20648217
241,0.20648217
242,0.20648217
243,0.20648217
244,0.20648217
245,0.20648217
246,0.20648217
247,0.20648217
248,0.20648217
249,0.20648217
250,0.20648217
251,0.20648217
252,0.20648217
253,0.20648217
254,0.20648217
255,0.20648217
256,0.20648217
257,0.20648217
258,0.20648217
259,0.20648217
260,0.20648217
261,0.20648217
262,0.20648217
263,0.20648217
264,0.20648217
265,0.20648217
266,0.20648217
267,0.20648217
268,0.20648217
269,0.20648217
270,0.20648217
271,0.20648217
272,0.20648217
273,0.20648217
274,0.20648217
275,0.20648217
276,0.20648217
277,0.20648217
278,0.20648217
279,0.20648217
280,0.20648217
281,0.20648217
282,0.20648217
283,0.20648217
284,0.20648217
285,0.20648217
286,0.20648217
287,0.20648217
288,0.20648217
289,0.20648217
290,0.20648217
291,0.20648217
292,0.20648217
293,0.20648217
294,0.20648217
295,0.20648217
296,0.20648217
297,0.20648217
298,0.20648217
299,0.20648217
300,0.20648217
301,0.20648217
302,0.20648217
303,0.20648217
304,0.20648217
305,0.20648217
306,0.20648217
307,0.20648217
308,0.20648217
309,0.20648217
310,0.20648217
311,0.20648217
312,0.20648217
313,0.20648217
314,0.20648217
315,0.20648217
316,0.20648217
317,0.20648217
318,0.20648217
319,0.20648217
320,0.20648217
321,0.20648217
322,0.20648217
323,0.20648217
324,0.20648217
